Timestamp,Level,Message
2025-06-30 23:42,INFO,Czekam 1029 s do północy, żeby rozpocząć pomiary
2025-07-01 00:00,INFO,Start kolekcji danych
2025-07-01 00:00,INFO,Czekam 600 s do kolejnego pomiaru
2025-07-01 00:10,INFO,Czekam 586 s do kolejnego pomiaru
2025-07-01 00:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 00:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 00:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 00:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 01:00,INFO,Czekam 593 s do kolejnego pomiaru
2025-07-01 01:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 01:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 01:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 01:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 01:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 02:00,INFO,Czekam 593 s do kolejnego pomiaru
2025-07-01 02:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 02:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 02:30,INFO,Czekam 590 s do kolejnego pomiaru
2025-07-01 02:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 02:50,INFO,Czekam 593 s do kolejnego pomiaru
2025-07-01 03:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 03:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 03:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 03:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 03:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 03:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 04:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 05:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 05:10,INFO,Czekam 590 s do kolejnego pomiaru
2025-07-01 05:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 05:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 05:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 05:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:20,WARNING,Distance deviation 2_A: measured - 30.00 km, default - 29.5 km
2025-07-01 06:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:30,WARNING,Distance deviation 2_A: measured - 30.00 km, default - 29.5 km
2025-07-01 06:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:40,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 06:50,WARNING,Distance deviation 1_A: measured - 51.03 km, default - 50.5 km
2025-07-01 06:50,INFO,Czekam 591 s do kolejnego pomiaru
2025-07-01 07:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 07:10,INFO,Czekam 591 s do kolejnego pomiaru
2025-07-01 07:20,INFO,Czekam 593 s do kolejnego pomiaru
2025-07-01 07:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 07:40,INFO,Czekam 590 s do kolejnego pomiaru
2025-07-01 07:50,INFO,Czekam 591 s do kolejnego pomiaru
2025-07-01 08:00,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 08:10,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 08:20,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 08:30,WARNING,Distance deviation 2_A: measured - 30.00 km, default - 29.5 km
2025-07-01 08:30,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 08:40,WARNING,Distance deviation 5_A: measured - 44.32 km, default - 43.6 km
2025-07-01 08:40,INFO,Czekam 591 s do kolejnego pomiaru
2025-07-01 08:50,WARNING,Distance deviation 5_A: measured - 44.32 km, default - 43.6 km
2025-07-01 08:50,INFO,Czekam 592 s do kolejnego pomiaru
2025-07-01 09:00,WARNING,Distance deviation 5_A: measured - 44.32 km, default - 43.6 km
2025-07-01 09:00,INFO,Czekam 592 s do kolejnego pomiaru
